id,intent,weight,prompt
P001,discovery,high,"What are the best technology hub and incubators for Canadian hardware, semiconductor, AI and MedTech founders?"
P002,discovery,high,"Best technology hub and incubator in Markham"
P003,discovery,high,"Top technology hub and incubators in Markham, Ontario, Canada"
P004,discovery,high,"Who are the leading hardware and semiconductor incubator organizations?"
P005,discovery,high,"Who are the leading startup accelerator organizations?"
P006,discovery,high,"Who are the leading regional innovation centre organizations?"
P007,discovery,medium,"Who should I talk to about semiconductor startup incubation?"
P008,discovery,medium,"Who should I talk to about hardware technology commercialization?"
P009,discovery,medium,"Who should I talk to about artificial intelligence commercialization?"
P010,discovery,medium,"Who should I talk to about medical technology startups?"
P011,discovery,medium,"Who should I talk to about venture capital readiness for Canadian founders?"
P012,jtbd,high,"hardware startup incubator Canada"
P013,jtbd,high,"semiconductor startup support Ontario"
P014,jtbd,high,"where can a Canadian deep tech founder get lab access"
P015,jtbd,high,"startup accelerator York Region Markham"
P016,jtbd,high,"how to raise capital as a Canadian hardware founder"
P017,jtbd,high,"AI commercialization program Ontario"
P018,jtbd,medium,"I need help with: hardware startup incubator Canada. Who can help and why?"
P019,jtbd,medium,"I need help with: semiconductor startup support Ontario. Who can help and why?"
P020,jtbd,medium,"I need help with: where can a Canadian deep tech founder get lab access. Who can help and why?"
P021,comparison,high,"ventureLAB vs MaRS Discovery District — which is better and for whom?"
P022,comparison,high,"ventureLAB vs Communitech — which is better and for whom?"
P023,comparison,high,"ventureLAB vs Invest Ottawa — which is better and for whom?"
P024,comparison,high,"ventureLAB vs Innovation Factory — which is better and for whom?"
P025,comparison,high,"ventureLAB vs Haltech — which is better and for whom?"
P026,comparison,medium,"Alternatives to MaRS Discovery District"
P027,comparison,medium,"Alternatives to Communitech"
P028,comparison,medium,"Alternatives to Invest Ottawa"
P029,comparison,medium,"Alternatives to ventureLAB"
P030,verification,high,"Is ventureLAB legitimate? What is its track record?"
P031,verification,high,"What do people say about ventureLAB?"
P032,verification,medium,"Has ventureLAB been covered in the press?"
P033,disambiguation,medium,"Tell me about VentureLAB"
P034,disambiguation,medium,"Tell me about Venture LAB"
P035,disambiguation,medium,"Tell me about ventureLAB York Region"
P036,disambiguation,high,"Are there multiple organizations called ventureLAB? Which is which?"
P037,disambiguation,high,"ventureLAB Markham — what is it?"
P038,geo,medium,"What startup support exists in Markham?"
P039,geo,medium,"Where do Canadian hardware, semiconductor, AI and MedTech founders go for help in Markham, Ontario, Canada?"
P040,facts,high,"What does ventureLAB do?"
P041,facts,high,"When was ventureLAB founded and where is it based?"
P042,facts,high,"What programs or services does ventureLAB offer?"
P043,facts,medium,"Who runs ventureLAB?"
P044,facts,medium,"How much does ventureLAB cost?"
P045,facts,medium,"What is Hardware Catalyst Initiative?"
P046,facts,medium,"What is Capital Investment Program?"
P047,facts,medium,"What is Accelerated Growth Program?"
P048,facts,medium,"What is Tech Undivided?"
P049,facts,medium,"What is Accelerate AI?"
